fecha de inicio :	2022-02-17
hora de inicio :	13:52:44,76288
tasa de muestreo :	100 Hz
	
tiempo desde inicio (s)	voltaje (V)
1,38566	0,28320
1,39570	0,28320
1,40574	0,27832
1,41578	0,28320
1,42582	0,27832
1,43586	0,27832
1,44590	0,28320
1,45595	0,28320
1,46599	0,28320
1,47603	0,28320
1,48607	0,28320
1,49611	0,28320
1,50615	0,28320
1,51619	0,27832
1,52623	0,28320
1,53627	0,27832
1,54631	0,28809
1,55636	0,28320
1,56640	0,28320
1,57644	0,28320
1,58648	0,28320
1,59652	0,28809
1,60656	0,28320
1,61660	0,28320
1,62664	0,28809
1,63668	0,27344
1,64672	0,28320
1,65677	0,28320
1,66681	0,27832
1,67685	0,27832
1,68689	0,28320
1,69693	0,27832
1,70697	0,28320
1,71701	0,29297
1,72705	0,27344
1,73709	0,28320
1,74713	0,27832
1,75718	0,28320
1,76722	0,28809
1,77726	0,27832
1,78730	0,27832
1,79734	0,28320
1,80738	0,28320
1,81742	0,28320
1,82746	0,28320
1,83750	0,28320
1,84754	0,27344
1,85759	0,27832
1,86763	0,27832
1,87767	0,27344
1,88771	0,28320
1,89775	0,27832
1,90779	0,27832
1,91783	0,28320
1,92787	0,28320
1,93791	0,28320
1,94795	0,28809
1,95800	0,27832
1,96804	0,28809
1,97808	0,28320
1,98812	0,28320
1,99816	0,28320
2,00820	0,28320
2,01824	0,28809
2,02828	0,28320
2,03832	0,27832
2,04836	0,28809
2,05841	0,27344
2,06845	0,29297
2,07849	0,28809
2,08853	0,28320
2,09857	0,28320
2,10861	0,28320
2,11865	0,27832
2,12869	0,28320
2,13873	0,28320
2,14877	0,27832
2,15882	0,27832
2,16886	0,27832
2,17890	0,28320
2,18894	0,27832
2,19898	0,27832
2,20902	0,28320
2,21906	0,28809
2,22910	0,28320
2,23914	0,27832
2,24918	0,28809
2,25923	0,27832
2,26927	0,27832
2,27931	0,28809
2,28935	0,29297
2,29939	0,27832
2,30943	0,28320
2,31947	0,28320
2,32951	0,28320
